CountryName,Year2015
Afghanistan,26.703
Albania,57.407
Algeria,70.727
American Samoa,87.202
Andorra,85.115
Angola,44.05
Antigua and Barbuda,23.773
Arab World,57.82168497
Argentina,91.751
Armenia,62.673
Aruba,41.528
Australia,89.423
Austria,65.968
Azerbaijan,54.62
"Bahamas, The",82.874
Bahrain,88.775
Bangladesh,34.277
Barbados,31.475
Belarus,76.667
Belgium,97.858
Belize,43.973
Benin,43.95
Bermuda,100
Bhutan,38.644
Bolivia,68.512
Bosnia and Herzegovina,39.767
Botswana,57.444
Brazil,85.687
British Virgin Islands,46.186
Brunei Darussalam,77.202
Bulgaria,73.948
Burkina Faso,29.859
Burundi,12.057
Cabo Verde,65.526
Cambodia,20.723
Cameroon,54.381
Canada,81.828
Caribbean small states,42.17280796
Cayman Islands,100
Central African Republic,40.037
Central Europe and the Baltics,62.35554999
Chad,22.471
Channel Islands,31.465
Chile,89.53
China,55.614
Colombia,76.436
Comoros,28.296
"Congo, Dem. Rep.",42.494
"Congo, Rep.",65.38
Costa Rica,76.821
Cote d'Ivoire,54.18
Croatia,58.964
Cuba,77.074
Curacao,89.331
Cyprus,66.921
Czech Republic,72.992
Denmark,87.676
Djibouti,77.343
Dominica,69.539
Dominican Republic,78.98
Early-demographic dividend,44.13828116
East Asia & Pacific,56.62924168
East Asia & Pacific (excluding high income),52.93983644
East Asia & Pacific (IDA & IBRD countries),52.83981632
Ecuador,63.742
"Egypt, Arab Rep.",43.135
El Salvador,66.726
Equatorial Guinea,39.923
Estonia,67.538
Ethiopia,19.472
Euro area,75.92480434
Europe & Central Asia,70.87074058
Europe & Central Asia (excluding high income),65.08609504
Europe & Central Asia (IDA & IBRD countries),64.64637633
European Union,74.79972272
Faroe Islands,41.962
Fiji,53.728
Finland,84.221
Fragile and conflict affected situations,40.82844138
France,79.52
French Polynesia,55.88
Gabon,87.156
"Gambia, The",59.632
Georgia,53.641
Germany,75.301
Ghana,54.042
Gibraltar,100
Greece,78.007
Greenland,86.436
Grenada,35.591
Guam,94.516
Guatemala,51.571
Guinea,37.161
Guinea-Bissau,49.332
Guyana,28.553
Haiti,58.645
Heavily indebted poor countries (HIPC),34.58587283
High income,81.11687243
Honduras,54.73
"Hong Kong SAR, China",100
Hungary,71.227
IBRD only,53.61771079
Iceland,94.137
IDA & IBRD total,48.79941664
IDA blend,40.9848274
IDA only,32.36840836
IDA total,35.44733697
India,32.747
Indonesia,53.742
"Iran, Islamic Rep.",73.375
Iraq,69.471
Ireland,63.241
Isle of Man,52.203
Israel,92.14
Italy,68.964
Jamaica,54.788
Japan,93.498
Jordan,83.679
Kazakhstan,53.247
Kenya,25.622
Kiribati,44.304
"Korea, Dem. PeopleÄ__s Rep.",60.875
"Korea, Rep.",82.474
